/usr/lib64/python2.7/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
2018-05-03 22:42:43.345630: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-05-03 22:42:44.912384: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1212] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:05:00.0
totalMemory: 10.92GiB freeMemory: 10.76GiB
2018-05-03 22:42:44.912423: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1312] Adding visible gpu devices: 0
2018-05-03 22:42:45.147770: I tensorflow/core/common_runtime/gpu/gpu_device.cc:993] Creating TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11178 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:05:00.0, compute capability: 6.1)
2018-05-03 22:42:45.148886: E tensorflow/stream_executor/cuda/cuda_driver.cc:936] failed to allocate 10.92G (11721113600 bytes) from device: CUDA_ERROR_OUT_OF_MEMORY
finish loading vgg16 model
the step is 000000  mae is 0.291865  sad is 896.609802  mse is 0.339980  mae_t is 0.942919  sad is 26.183924  mse is 1.239487
the step is 001200  mae is 0.040285  sad is 123.755928  mse is 0.011708  mae_t is 0.283184  sad is 4.784677  mse is 0.137340
the step is 001201  mae is 0.043040  sad is 132.220398  mse is 0.013280  mae_t is 0.237390  sad is 6.645267  mse is 0.104189
the step is 001202  mae is 0.043601  sad is 133.943237  mse is 0.014567  mae_t is 0.313247  sad is 1.166222  mse is 0.147025
the step is 001203  mae is 0.043553  sad is 133.793884  mse is 0.014568  mae_t is 0.210060  sad is 2.769439  mse is 0.088135
the step is 001204  mae is 0.041766  sad is 128.304749  mse is 0.013546  mae_t is 0.221937  sad is 2.636388  mse is 0.101946
the step is 001205  mae is 0.039621  sad is 121.716454  mse is 0.012711  mae_t is 0.272401  sad is 4.849831  mse is 0.130486
the step is 001206  mae is 0.038115  sad is 117.090714  mse is 0.012185  mae_t is 0.234398  sad is 1.743223  mse is 0.100616
the step is 001207  mae is 0.047400  sad is 145.612289  mse is 0.017042  mae_t is 0.269523  sad is 3.278483  mse is 0.128977
the step is 001208  mae is 0.042688  sad is 131.136063  mse is 0.012311  mae_t is 0.229819  sad is 1.228844  mse is 0.077512
the step is 001209  mae is 0.043071  sad is 132.313797  mse is 0.014070  mae_t is 0.234434  sad is 2.966996  mse is 0.099376
the step is 001210  mae is 0.043546  sad is 133.773453  mse is 0.013624  mae_t is 0.189220  sad is 0.188276  mse is 0.056132
the step is 001211  mae is 0.039100  sad is 120.114883  mse is 0.011531  mae_t is 0.232942  sad is 4.982160  mse is 0.094251
the step is 001212  mae is 0.042223  sad is 129.708282  mse is 0.014476  mae_t is 0.219200  sad is 4.376774  mse is 0.089785
the step is 001213  mae is 0.043558  sad is 133.810898  mse is 0.014650  mae_t is 0.271361  sad is 2.409961  mse is 0.141943
the step is 001214  mae is 0.042574  sad is 130.786148  mse is 0.013358  mae_t is 0.225902  sad is 5.805460  mse is 0.101431
the step is 001215  mae is 0.043681  sad is 134.189041  mse is 0.013386  mae_t is 0.350325  sad is 7.446871  mse is 0.186520
the step is 001216  mae is 0.037593  sad is 115.486877  mse is 0.010253  mae_t is 0.256381  sad is 5.222749  mse is 0.104384
the step is 001217  mae is 0.044985  sad is 138.195099  mse is 0.015161  mae_t is 0.263778  sad is 3.836394  mse is 0.123520
the step is 001218  mae is 0.047176  sad is 144.923264  mse is 0.015343  mae_t is 0.255834  sad is 0.746525  mse is 0.109959
the step is 001219  mae is 0.039751  sad is 122.115097  mse is 0.011803  mae_t is 0.221180  sad is 2.227727  mse is 0.088418
the step is 001220  mae is 0.040250  sad is 123.647598  mse is 0.011148  mae_t is 0.214384  sad is 2.319205  mse is 0.080165
the step is 001221  mae is 0.039319  sad is 120.787071  mse is 0.012108  mae_t is 0.243096  sad is 2.837171  mse is 0.114212
the step is 001222  mae is 0.041267  sad is 126.773293  mse is 0.014777  mae_t is 0.282487  sad is 1.961593  mse is 0.149261
the step is 001223  mae is 0.046241  sad is 142.052933  mse is 0.014748  mae_t is 0.341180  sad is 3.966222  mse is 0.184085
the step is 001224  mae is 0.041296  sad is 126.862785  mse is 0.012509  mae_t is 0.280099  sad is 1.564915  mse is 0.129539
the step is 001225  mae is 0.055565  sad is 170.694962  mse is 0.020545  mae_t is 0.207871  sad is 0.034093  mse is 0.062638
the step is 001226  mae is 0.043552  sad is 133.791382  mse is 0.014619  mae_t is 0.256116  sad is 5.656075  mse is 0.131941
the step is 001227  mae is 0.036991  sad is 113.635300  mse is 0.010816  mae_t is 0.312919  sad is 0.753511  mse is 0.187161
the step is 001228  mae is 0.044235  sad is 135.890778  mse is 0.016040  mae_t is 0.261935  sad is 1.918937  mse is 0.124147
the step is 001229  mae is 0.038695  sad is 118.871201  mse is 0.011951  mae_t is 0.257175  sad is 4.415434  mse is 0.115912
the step is 001230  mae is 0.043253  sad is 132.872528  mse is 0.015826  mae_t is 0.224009  sad is 1.201812  mse is 0.106427
the step is 001231  mae is 0.046794  sad is 143.751312  mse is 0.018296  mae_t is 0.282140  sad is 7.273566  mse is 0.150512
the step is 001232  mae is 0.057359  sad is 176.205734  mse is 0.025215  mae_t is 0.213347  sad is 2.163346  mse is 0.088623
the step is 001233  mae is 0.045212  sad is 138.889740  mse is 0.016683  mae_t is 0.291193  sad is 4.754025  mse is 0.161062
the step is 001234  mae is 0.044603  sad is 137.019394  mse is 0.015413  mae_t is 0.393542  sad is 1.378974  mse is 0.238093
the step is 001235  mae is 0.043484  sad is 133.582031  mse is 0.013834  mae_t is 0.262286  sad is 4.915771  mse is 0.114701
the step is 001236  mae is 0.041732  sad is 128.200012  mse is 0.012915  mae_t is 0.326139  sad is 2.678255  mse is 0.159233
the step is 001237  mae is 0.046222  sad is 141.993561  mse is 0.014941  mae_t is 0.264129  sad is 14.341674  mse is 0.106350
the step is 001238  mae is 0.037296  sad is 114.573730  mse is 0.010805  mae_t is 0.258553  sad is 2.165381  mse is 0.116463
the step is 001239  mae is 0.046272  sad is 142.147629  mse is 0.015315  mae_t is 0.306279  sad is 7.960497  mse is 0.143563
the step is 001240  mae is 0.042340  sad is 130.067657  mse is 0.012537  mae_t is 0.258848  sad is 3.500919  mse is 0.116759
the step is 001241  mae is 0.047470  sad is 145.827896  mse is 0.015985  mae_t is 0.279414  sad is 4.860411  mse is 0.130974
the step is 001242  mae is 0.040913  sad is 125.683777  mse is 0.012012  mae_t is 0.189838  sad is 0.523955  mse is 0.066116
the step is 001243  mae is 0.039729  sad is 122.047989  mse is 0.011637  mae_t is 0.252119  sad is 5.936399  mse is 0.102240
the step is 001244  mae is 0.039498  sad is 121.337318  mse is 0.011969  mae_t is 0.221287  sad is 1.893334  mse is 0.088041
the step is 001245  mae is 0.044655  sad is 137.179108  mse is 0.015569  mae_t is 0.309767  sad is 2.230015  mse is 0.161617
the step is 001246  mae is 0.035261  sad is 108.320763  mse is 0.009351  mae_t is 0.223322  sad is 1.010759  mse is 0.090029
the step is 001247  mae is 0.039153  sad is 120.279457  mse is 0.011964  mae_t is 0.289329  sad is 2.550435  mse is 0.143632
the step is 001248  mae is 0.042264  sad is 129.833878  mse is 0.014459  mae_t is 0.224403  sad is 1.503499  mse is 0.099260
the step is 001249  mae is 0.048074  sad is 147.683594  mse is 0.018479  mae_t is 0.211858  sad is 3.059237  mse is 0.083761
the step is 001250  mae is 0.037442  sad is 115.022110  mse is 0.009729  mae_t is 0.232461  sad is 1.944077  mse is 0.096818
the step is 001251  mae is 0.043258  sad is 132.887726  mse is 0.013618  mae_t is 0.281831  sad is 5.797550  mse is 0.133256
the step is 001252  mae is 0.040389  sad is 124.076393  mse is 0.011471  mae_t is 0.259089  sad is 3.996972  mse is 0.136840
the step is 001253  mae is 0.036651  sad is 112.592400  mse is 0.010660  mae_t is 0.202353  sad is 2.944847  mse is 0.076198
the step is 001254  mae is 0.041774  sad is 128.330261  mse is 0.013132  mae_t is 0.205717  sad is 0.263526  mse is 0.075736
the step is 001255  mae is 0.035715  sad is 109.717476  mse is 0.010223  mae_t is 0.208752  sad is 1.192391  mse is 0.077451
the step is 001256  mae is 0.041869  sad is 128.621765  mse is 0.013774  mae_t is 0.243489  sad is 2.440246  mse is 0.107545
the step is 001257  mae is 0.039908  sad is 122.596764  mse is 0.012863  mae_t is 0.180882  sad is 3.061603  mse is 0.071282
the step is 001258  mae is 0.041074  sad is 126.179977  mse is 0.013831  mae_t is 0.268727  sad is 4.768291  mse is 0.130014
the step is 001259  mae is 0.038438  sad is 118.081596  mse is 0.011602  mae_t is 0.230848  sad is 0.229003  mse is 0.089761
the step is 001260  mae is 0.040770  sad is 125.245186  mse is 0.012753  mae_t is 0.277923  sad is 4.899513  mse is 0.146609
the step is 001261  mae is 0.040282  sad is 123.746712  mse is 0.012997  mae_t is 0.137218  sad is 0.886153  mse is 0.036731
the step is 001262  mae is 0.047541  sad is 146.046326  mse is 0.015945  mae_t is 0.225944  sad is 3.143110  mse is 0.092934
the step is 001263  mae is 0.043210  sad is 132.740753  mse is 0.014804  mae_t is 0.223425  sad is 3.698586  mse is 0.091955
the step is 001264  mae is 0.039330  sad is 120.821503  mse is 0.011719  mae_t is 0.245729  sad is 2.740869  mse is 0.097773
the step is 001265  mae is 0.045775  sad is 140.621719  mse is 0.015012  mae_t is 0.271026  sad is 1.300387  mse is 0.123610
the step is 001266  mae is 0.038403  sad is 117.974884  mse is 0.011041  mae_t is 0.241906  sad is 4.847793  mse is 0.099390
the step is 001267  mae is 0.036373  sad is 111.738014  mse is 0.010398  mae_t is 0.212759  sad is 3.973481  mse is 0.084835
the step is 001268  mae is 0.038140  sad is 117.167290  mse is 0.010672  mae_t is 0.191363  sad is 2.176948  mse is 0.071185
the step is 001269  mae is 0.043265  sad is 132.908951  mse is 0.013311  mae_t is 0.246038  sad is 1.431208  mse is 0.099701
the step is 001270  mae is 0.045672  sad is 140.303940  mse is 0.016692  mae_t is 0.290783  sad is 2.451883  mse is 0.165847
the step is 001271  mae is 0.037472  sad is 115.114563  mse is 0.010206  mae_t is 0.210225  sad is 4.555799  mse is 0.076942
the step is 001272  mae is 0.040709  sad is 125.057602  mse is 0.011728  mae_t is 0.223637  sad is 5.318101  mse is 0.085445
the step is 001273  mae is 0.043154  sad is 132.567871  mse is 0.012722  mae_t is 0.246268  sad is 1.127661  mse is 0.107263
the step is 001274  mae is 0.042329  sad is 130.036224  mse is 0.013755  mae_t is 0.276692  sad is 1.227684  mse is 0.122490
the step is 001275  mae is 0.042489  sad is 130.527725  mse is 0.014538  mae_t is 0.293128  sad is 7.210366  mse is 0.148564
the step is 001276  mae is 0.039589  sad is 121.616005  mse is 0.012144  mae_t is 0.202348  sad is 3.200544  mse is 0.079820
the step is 001277  mae is 0.042652  sad is 131.027328  mse is 0.014063  mae_t is 0.189080  sad is 2.364634  mse is 0.079885
the step is 001278  mae is 0.039525  sad is 121.419540  mse is 0.012890  mae_t is 0.260741  sad is 6.227798  mse is 0.131347
the step is 001279  mae is 0.043965  sad is 135.061981  mse is 0.015045  mae_t is 0.213127  sad is 1.677097  mse is 0.093766
the step is 001280  mae is 0.050418  sad is 154.884659  mse is 0.019249  mae_t is 0.312255  sad is 3.672744  mse is 0.156342
the step is 001281  mae is 0.042829  sad is 131.571793  mse is 0.013388  mae_t is 0.218654  sad is 6.599196  mse is 0.085398
the step is 001282  mae is 0.051723  sad is 158.893494  mse is 0.017567  mae_t is 0.327835  sad is 7.402836  mse is 0.175669
the step is 001283  mae is 0.042152  sad is 129.489532  mse is 0.012089  mae_t is 0.234116  sad is 1.860991  mse is 0.091816
the step is 001284  mae is 0.041390  sad is 127.148827  mse is 0.012088  mae_t is 0.252587  sad is 6.481378  mse is 0.109597
the step is 001285  mae is 0.043165  sad is 132.601639  mse is 0.013621  mae_t is 0.191548  sad is 0.921732  mse is 0.066313
the step is 001286  mae is 0.041914  sad is 128.761230  mse is 0.012912  mae_t is 0.246576  sad is 2.318557  mse is 0.108057
the step is 001287  mae is 0.045083  sad is 138.495056  mse is 0.015773  mae_t is 0.254875  sad is 4.517909  mse is 0.110958
the step is 001288  mae is 0.037873  sad is 116.347321  mse is 0.012337  mae_t is 0.182128  sad is 2.869248  mse is 0.069153
the step is 001289  mae is 0.037471  sad is 115.112389  mse is 0.010886  mae_t is 0.254811  sad is 1.493703  mse is 0.121320
the step is 001290  mae is 0.039300  sad is 120.729454  mse is 0.012459  mae_t is 0.210012  sad is 0.027724  mse is 0.069221
the step is 001291  mae is 0.038171  sad is 117.260300  mse is 0.011245  mae_t is 0.202500  sad is 1.440995  mse is 0.076128
the step is 001292  mae is 0.043728  sad is 134.332291  mse is 0.014596  mae_t is 0.220891  sad is 2.272306  mse is 0.089135
the step is 001293  mae is 0.047741  sad is 146.659225  mse is 0.015853  mae_t is 0.215383  sad is 0.925290  mse is 0.083738
the step is 001294  mae is 0.041159  sad is 126.441818  mse is 0.012244  mae_t is 0.249304  sad is 1.249014  mse is 0.110690
the step is 001295  mae is 0.046326  sad is 142.313599  mse is 0.015173  mae_t is 0.296208  sad is 14.410841  mse is 0.137476
the step is 001296  mae is 0.047432  sad is 145.712082  mse is 0.015919  mae_t is 0.304052  sad is 1.475567  mse is 0.140835
the step is 001297  mae is 0.048408  sad is 148.709793  mse is 0.020101  mae_t is 0.237191  sad is 5.170290  mse is 0.102853
the step is 001298  mae is 0.039305  sad is 120.744301  mse is 0.011292  mae_t is 0.169081  sad is 1.752523  mse is 0.051028
the step is 001299  mae is 0.036886  sad is 113.315010  mse is 0.011498  mae_t is 0.194279  sad is 0.523585  mse is 0.080574
the step is 001300  mae is 0.042809  sad is 131.510101  mse is 0.012416  mae_t is 0.259042  sad is 2.786778  mse is 0.115074
the step is 001301  mae is 0.049339  sad is 151.569824  mse is 0.016749  mae_t is 0.202337  sad is 2.839393  mse is 0.072927
the step is 001302  mae is 0.043022  sad is 132.163925  mse is 0.013230  mae_t is 0.233912  sad is 3.398038  mse is 0.099095
the step is 001303  mae is 0.040126  sad is 123.267166  mse is 0.011422  mae_t is 0.284600  sad is 3.417765  mse is 0.116985
the step is 001304  mae is 0.040142  sad is 123.314751  mse is 0.011503  mae_t is 0.224553  sad is 2.800629  mse is 0.088822
the step is 001305  mae is 0.038472  sad is 118.186165  mse is 0.010669  mae_t is 0.220006  sad is 5.242304  mse is 0.085225
the step is 001306  mae is 0.038337  sad is 117.771614  mse is 0.012039  mae_t is 0.201056  sad is 4.063142  mse is 0.078221
the step is 001307  mae is 0.041741  sad is 128.229324  mse is 0.013407  mae_t is 0.255020  sad is 3.898492  mse is 0.114729
the step is 001308  mae is 0.041420  sad is 127.241852  mse is 0.013686  mae_t is 0.160816  sad is 0.714667  mse is 0.054956
the step is 001309  mae is 0.042559  sad is 130.739822  mse is 0.015567  mae_t is 0.197424  sad is 2.876463  mse is 0.080032
the step is 001310  mae is 0.040158  sad is 123.365944  mse is 0.012690  mae_t is 0.201779  sad is 2.167110  mse is 0.076970
the step is 001311  mae is 0.039087  sad is 120.073830  mse is 0.011809  mae_t is 0.235916  sad is 4.254041  mse is 0.097850
the step is 001312  mae is 0.041428  sad is 127.265701  mse is 0.012592  mae_t is 0.203974  sad is 1.431902  mse is 0.075986
the step is 001313  mae is 0.037471  sad is 115.111862  mse is 0.010747  mae_t is 0.280296  sad is 2.926852  mse is 0.142750
the step is 001314  mae is 0.040093  sad is 123.166924  mse is 0.010790  mae_t is 0.239117  sad is 3.422725  mse is 0.095773
the step is 001315  mae is 0.045684  sad is 140.341736  mse is 0.013676  mae_t is 0.218746  sad is 7.059162  mse is 0.086493
the step is 001316  mae is 0.042964  sad is 131.986694  mse is 0.013480  mae_t is 0.258026  sad is 2.726049  mse is 0.116660
the step is 001317  mae is 0.041526  sad is 127.566528  mse is 0.012952  mae_t is 0.209650  sad is 3.210580  mse is 0.081420
the step is 001318  mae is 0.039107  sad is 120.135971  mse is 0.011069  mae_t is 0.217911  sad is 2.476128  mse is 0.088757
the step is 001319  mae is 0.035197  sad is 108.126442  mse is 0.010314  mae_t is 0.253567  sad is 0.842100  mse is 0.137589
the step is 001320  mae is 0.041391  sad is 127.152237  mse is 0.013974  mae_t is 0.247144  sad is 2.437088  mse is 0.114118
the step is 001321  mae is 0.042963  sad is 131.981735  mse is 0.015353  mae_t is 0.285993  sad is 4.609346  mse is 0.154913
the step is 001322  mae is 0.038258  sad is 117.529305  mse is 0.010786  mae_t is 0.261970  sad is 1.471490  mse is 0.111858
the step is 001323  mae is 0.044302  sad is 136.095627  mse is 0.013840  mae_t is 0.264805  sad is 2.744180  mse is 0.121092
the step is 001324  mae is 0.048740  sad is 149.728149  mse is 0.016649  mae_t is 0.254886  sad is 5.481839  mse is 0.110249
the step is 001325  mae is 0.048624  sad is 149.371994  mse is 0.017943  mae_t is 0.291399  sad is 7.643678  mse is 0.158984
the step is 001326  mae is 0.040515  sad is 124.462029  mse is 0.012512  mae_t is 0.265894  sad is 2.238031  mse is 0.122939
the step is 001327  mae is 0.054050  sad is 166.042648  mse is 0.021328  mae_t is 0.214367  sad is 0.045662  mse is 0.117634
the step is 001328  mae is 0.045055  sad is 138.409531  mse is 0.014566  mae_t is 0.259684  sad is 6.561702  mse is 0.113257
the step is 001329  mae is 0.037585  sad is 115.461624  mse is 0.010723  mae_t is 0.222519  sad is 0.800180  mse is 0.086661
the step is 001330  mae is 0.039415  sad is 121.083145  mse is 0.012287  mae_t is 0.257098  sad is 4.682021  mse is 0.126210
the step is 001331  mae is 0.043557  sad is 133.808441  mse is 0.019236  mae_t is 0.342026  sad is 3.386743  mse is 0.227480
the step is 001332  mae is 0.037723  sad is 115.885963  mse is 0.011241  mae_t is 0.240878  sad is 3.017004  mse is 0.101680
the step is 001333  mae is 0.042869  sad is 131.694580  mse is 0.015359  mae_t is 0.209338  sad is 3.485693  mse is 0.086701
the step is 001334  mae is 0.038568  sad is 118.479515  mse is 0.011611  mae_t is 0.267825  sad is 6.362731  mse is 0.130767
the step is 001335  mae is 0.050412  sad is 154.865173  mse is 0.017549  mae_t is 0.308971  sad is 4.697283  mse is 0.156305
the step is 001336  mae is 0.053308  sad is 163.763641  mse is 0.020979  mae_t is 0.397278  sad is 4.931421  mse is 0.264701
the step is 001337  mae is 0.053572  sad is 164.573807  mse is 0.022146  mae_t is 0.243601  sad is 2.281809  mse is 0.122986
the step is 001338  mae is 0.047375  sad is 145.535233  mse is 0.015226  mae_t is 0.229348  sad is 1.532045  mse is 0.102079
the step is 001339  mae is 0.041186  sad is 126.522568  mse is 0.012420  mae_t is 0.263517  sad is 5.904098  mse is 0.119010
the step is 001340  mae is 0.042865  sad is 131.682327  mse is 0.015035  mae_t is 0.298735  sad is 0.884559  mse is 0.158854
the step is 001341  mae is 0.041857  sad is 128.585648  mse is 0.012913  mae_t is 0.273522  sad is 2.975646  mse is 0.130810
the step is 001342  mae is 0.041229  sad is 126.656258  mse is 0.012497  mae_t is 0.239938  sad is 3.747113  mse is 0.101314
the step is 001343  mae is 0.041047  sad is 126.097282  mse is 0.013493  mae_t is 0.264219  sad is 3.547410  mse is 0.133803
the step is 001344  mae is 0.046849  sad is 143.919662  mse is 0.016998  mae_t is 0.320357  sad is 2.688442  mse is 0.178422
the step is 001345  mae is 0.055599  sad is 170.801575  mse is 0.021648  mae_t is 0.471769  sad is 11.122900  mse is 0.288945
the step is 001346  mae is 0.042918  sad is 131.843628  mse is 0.013807  mae_t is 0.244957  sad is 6.378679  mse is 0.114346
the step is 001347  mae is 0.043784  sad is 134.503143  mse is 0.014558  mae_t is 0.293948  sad is 5.595013  mse is 0.140209
the step is 001348  mae is 0.046487  sad is 142.807159  mse is 0.015239  mae_t is 0.317678  sad is 12.386914  mse is 0.147027
the step is 001349  mae is 0.046617  sad is 143.208542  mse is 0.018245  mae_t is 0.282652  sad is 4.140848  mse is 0.147464
the step is 001350  mae is 0.040676  sad is 124.957825  mse is 0.013325  mae_t is 0.219039  sad is 3.621818  mse is 0.089835
the step is 001351  mae is 0.038115  sad is 117.088066  mse is 0.011764  mae_t is 0.250946  sad is 1.361634  mse is 0.115988
the step is 001352  mae is 0.043184  sad is 132.662399  mse is 0.014681  mae_t is 0.298297  sad is 5.490452  mse is 0.133564
the step is 001353  mae is 0.037851  sad is 116.279610  mse is 0.011006  mae_t is 0.216864  sad is 1.924234  mse is 0.079954
the step is 001354  mae is 0.045109  sad is 138.574799  mse is 0.014717  mae_t is 0.242767  sad is 6.121140  mse is 0.109103
the step is 001355  mae is 0.042453  sad is 130.416183  mse is 0.013284  mae_t is 0.232333  sad is 1.096613  mse is 0.085544
the step is 001356  mae is 0.046258  sad is 142.105499  mse is 0.014009  mae_t is 0.212133  sad is 2.744785  mse is 0.071748
the step is 001357  mae is 0.043285  sad is 132.971695  mse is 0.013400  mae_t is 0.213316  sad is 1.850091  mse is 0.084292
the step is 001358  mae is 0.049250  sad is 151.296387  mse is 0.017586  mae_t is 0.248043  sad is 3.844917  mse is 0.121593
the step is 001359  mae is 0.046809  sad is 143.797943  mse is 0.015334  mae_t is 0.231791  sad is 2.883486  mse is 0.090438
the step is 001360  mae is 0.042281  sad is 129.885956  mse is 0.013823  mae_t is 0.231955  sad is 4.226914  mse is 0.095161
the step is 001361  mae is 0.043700  sad is 134.247101  mse is 0.015135  mae_t is 0.291896  sad is 8.081448  mse is 0.151382
the step is 001362  mae is 0.043727  sad is 134.330460  mse is 0.014352  mae_t is 0.405547  sad is 2.679453  mse is 0.275748
the step is 001363  mae is 0.039339  sad is 120.850533  mse is 0.011371  mae_t is 0.201953  sad is 3.376864  mse is 0.082147
the step is 001364  mae is 0.045976  sad is 141.239090  mse is 0.017299  mae_t is 0.207460  sad is 3.807924  mse is 0.088337
the step is 001365  mae is 0.042518  sad is 130.616547  mse is 0.013305  mae_t is 0.195486  sad is 1.412000  mse is 0.069592
the step is 001366  mae is 0.047364  sad is 145.503616  mse is 0.017973  mae_t is 0.362915  sad is 10.153278  mse is 0.207915
the step is 001367  mae is 0.044116  sad is 135.525742  mse is 0.014247  mae_t is 0.233217  sad is 1.896290  mse is 0.102939
the step is 001368  mae is 0.040220  sad is 123.556244  mse is 0.012116  mae_t is 0.290885  sad is 2.805586  mse is 0.147808
the step is 001369  mae is 0.049524  sad is 152.138290  mse is 0.017377  mae_t is 0.247008  sad is 4.821840  mse is 0.104848
the step is 001370  mae is 0.039897  sad is 122.562439  mse is 0.012353  mae_t is 0.260666  sad is 3.300297  mse is 0.120103
the step is 001371  mae is 0.040403  sad is 124.118103  mse is 0.012572  mae_t is 0.259666  sad is 2.438787  mse is 0.121768
the step is 001372  mae is 0.035705  sad is 109.686554  mse is 0.009679  mae_t is 0.210093  sad is 2.474692  mse is 0.080308
the step is 001373  mae is 0.033984  sad is 104.398926  mse is 0.009325  mae_t is 0.176549  sad is 2.131301  mse is 0.061661
the step is 001374  mae is 0.039007  sad is 119.830933  mse is 0.012261  mae_t is 0.218130  sad is 4.736701  mse is 0.090603
the step is 001375  mae is 0.039824  sad is 122.338364  mse is 0.012741  mae_t is 0.164260  sad is 0.292713  mse is 0.048528
the step is 001376  mae is 0.042815  sad is 131.527130  mse is 0.016542  mae_t is 0.277820  sad is 2.133939  mse is 0.142169
the step is 001377  mae is 0.041591  sad is 127.767761  mse is 0.014516  mae_t is 0.202107  sad is 3.644201  mse is 0.082021
the step is 001378  mae is 0.036615  sad is 112.482521  mse is 0.011001  mae_t is 0.219648  sad is 3.034880  mse is 0.095443
the step is 001379  mae is 0.047632  sad is 146.326324  mse is 0.015883  mae_t is 0.288631  sad is 7.255024  mse is 0.132557
the step is 001380  mae is 0.042125  sad is 129.406952  mse is 0.012677  mae_t is 0.257557  sad is 1.044395  mse is 0.118782
the step is 001381  mae is 0.047020  sad is 144.445160  mse is 0.015213  mae_t is 0.301478  sad is 6.981032  mse is 0.132120
the step is 001382  mae is 0.046615  sad is 143.202484  mse is 0.016047  mae_t is 0.253631  sad is 4.104259  mse is 0.111046
the step is 001383  mae is 0.040940  sad is 125.767273  mse is 0.013924  mae_t is 0.267990  sad is 3.095821  mse is 0.151592
the step is 001384  mae is 0.048548  sad is 149.140076  mse is 0.017564  mae_t is 0.226956  sad is 2.956327  mse is 0.097286
the step is 001385  mae is 0.045254  sad is 139.020157  mse is 0.015962  mae_t is 0.248222  sad is 1.309623  mse is 0.119935
the step is 001386  mae is 0.040128  sad is 123.273987  mse is 0.012981  mae_t is 0.172714  sad is 0.977391  mse is 0.057713
the step is 001387  mae is 0.043750  sad is 134.401169  mse is 0.015383  mae_t is 0.307028  sad is 7.186599  mse is 0.147230
the step is 001388  mae is 0.039536  sad is 121.454697  mse is 0.012534  mae_t is 0.232847  sad is 2.756907  mse is 0.091230
the step is 001389  mae is 0.042875  sad is 131.710922  mse is 0.015455  mae_t is 0.239385  sad is 4.152374  mse is 0.110097
the step is 001390  mae is 0.047379  sad is 145.549042  mse is 0.019637  mae_t is 0.391763  sad is 4.926818  mse is 0.248989
the step is 001391  mae is 0.043749  sad is 134.397491  mse is 0.013913  mae_t is 0.321326  sad is 4.114582  mse is 0.159068
the step is 001392  mae is 0.047331  sad is 145.401169  mse is 0.016637  mae_t is 0.247937  sad is 2.677723  mse is 0.119562
the step is 001393  mae is 0.040303  sad is 123.810631  mse is 0.011973  mae_t is 0.157575  sad is 0.505345  mse is 0.045895
the step is 001394  mae is 0.043538  sad is 133.748947  mse is 0.013058  mae_t is 0.273972  sad is 3.920810  mse is 0.113544
the step is 001395  mae is 0.045020  sad is 138.300690  mse is 0.013267  mae_t is 0.346858  sad is 3.501188  mse is 0.203852
the step is 001396  mae is 0.047861  sad is 147.029297  mse is 0.015328  mae_t is 0.252854  sad is 5.451274  mse is 0.107229
the step is 001397  mae is 0.046075  sad is 141.542221  mse is 0.015481  mae_t is 0.223745  sad is 5.150156  mse is 0.090556
the step is 001398  mae is 0.045799  sad is 140.696030  mse is 0.014079  mae_t is 0.183802  sad is 0.071317  mse is 0.079955
the step is 001399  mae is 0.048136  sad is 147.875137  mse is 0.015771  mae_t is 0.264705  sad is 4.612483  mse is 0.117712
the step is 001400  mae is 0.044026  sad is 135.246704  mse is 0.015742  mae_t is 0.277383  sad is 3.747164  mse is 0.147124
the step is 001401  mae is 0.036899  sad is 113.353142  mse is 0.010960  mae_t is 0.242358  sad is 1.130843  mse is 0.118406
the step is 001402  mae is 0.037227  sad is 114.361084  mse is 0.011659  mae_t is 0.260120  sad is 1.838788  mse is 0.120234
the step is 001403  mae is 0.039318  sad is 120.783577  mse is 0.012056  mae_t is 0.263514  sad is 7.354687  mse is 0.110448
the step is 001404  mae is 0.036792  sad is 113.023949  mse is 0.009941  mae_t is 0.186930  sad is 0.231234  mse is 0.074403
the step is 001405  mae is 0.032594  sad is 100.128944  mse is 0.009362  mae_t is 0.179515  sad is 2.617146  mse is 0.066573
the step is 001406  mae is 0.042246  sad is 129.780685  mse is 0.014700  mae_t is 0.246517  sad is 1.425611  mse is 0.108904
the step is 001407  mae is 0.047612  sad is 146.264343  mse is 0.017846  mae_t is 0.234237  sad is 5.386512  mse is 0.102445
the step is 001408  mae is 0.047289  sad is 145.271194  mse is 0.014997  mae_t is 0.291988  sad is 12.061736  mse is 0.135085
the step is 001409  mae is 0.040377  sad is 124.037910  mse is 0.012541  mae_t is 0.222091  sad is 0.919238  mse is 0.098707
